Username,Handle,Published,Tweet,Duration
KaiWatson,https://twitter.com/KWatlor,"\xb7Oct 5, 2019",#YangGang Breaking news! @AtlantaYang #NationalYangGangDay is taking the CNN studio tour!45239908,0.16434045800000163
\u271e\u2655In God I Trust\u2655\u271e,https://twitter.com/InGodIDoTrust,"\xb7Oct 3, 2019",CNN BREAKING NEWS,0.16445554100000237
Hero Wars,N/A,N/A,N/A,0.164898333
Andy Ostroy,https://twitter.com/AndyOstroy,"\xb7Oct 8, 2019",Hey\u2026am I the only one who thinks \u201cTRUMP RESIGNED!!??\u201d whenever @CNN cuts to \u201cBreaking News\u201d?4571972.5K,0.16496429100000043
Susan,https://twitter.com/SusanSharay,"\xb7Oct 6, 2019",URGENT !! Breaking Trump News [7PM] 10/06/19 | CNN Breaking News Today O...  via @YouTube,0.17143116699999794
Shark Twain,https://twitter.com/OctopusHero,"\xb7Oct 8, 2019",CNN BREAKING NEWS: Both of the whistleblowers have now come forward with allegations that they were also sexually assaulted by Brett Kavanaugh.,0.17158641700000032
#Trump45,https://twitter.com/Barber2012Jeff,"\xb7Oct 5, 2019",@CNN BREAKING NEWS CNN AND THE LIES THEY SPEW ARE NOT WORKING .WE AMERICAN PEOPLE ARE NOT THAT DAMN STUPID CNN.,0.1716914999999979
Gregg Sidwell,https://twitter.com/lensmangregg,"\xb7Oct 8, 2019",Yeah....real CNN Breaking News not the 3 hours later when it happened CNN Breaking NewsQuoteAndy Ostroy@AndyOstroy\xb7Oct 8Hey\u2026am I the only one who thinks \u201cTRUMP RESIGNED!!??\u201d whenever @CNN cuts to \u201cBreaking News\u201d?,0.17184812500000035
Lucy Lubin,https://twitter.com/Soylattelucy,"\xb7Oct 8, 2019",I\u2019ve been watching so much CNN that I hear \u201cCNN Breaking News\u201d in my head even when I\u2019m sleeping. I\u2019m pretty sure it\u2019s how all of my dreams start. #CNNBreakingNews,0.13104849999999857
Edward Ferrell,https://twitter.com/ferrelldodoma77,"\xb7Oct 3, 2019",Breaking Trump News [3PM] 10/3/19 | CNN Breaking News Today Oct 3  via @YouTube This display is nothing short of ignorant dictatorship.,0.13112479199999783
candacemariecooper,https://twitter.com/candies2639,"\xb7Oct 6, 2019",CNN Newsroom [2PM] 10/06/19 | CNN Breaking News Today Oct 6  via @YouTube,0.13117112499999806
candacemariecooper,https://twitter.com/candies2639,"\xb7Oct 6, 2019","CNN Reliable Sources 10/6/19 | CNN Breaking News Show Today October 6 , ...  via @YouTube. Trump\u2019s force field of falsehoods! 11",0.13125654199999914
The Louis Centeno Show,https://twitter.com/Superman0621,"\xb7Oct 9, 2019",Replying to @CNN and @blowryontvBREAKING NEWS. CNN is reporting that a man and a woman was arrested for dropping popcorn on the floor as they watch Joker. CNN is monitoring the situation why couple brought and was eating popcorn at a Joker movie. Stay tune lol lol13,0.151048375000002
B. Anders Davidson,https://twitter.com/bandersdavidson,"\xb7Oct 4, 2019",CNN Newsroom [9AM] 10/04/19 | CNN Breaking News Today Oct 04  via @YouTube,0.15111075000000085
Julie Gaffney OLY  ,https://twitter.com/MedalistOlympic,"\xb7Oct 3, 2019",@JohnKingCNN This is CNN Breaking News: Todd angilly officially named the official National Anthem Singer for the Boston Bruins Succeeding Rene Rancourt! Please report on your show as CNN breaking News with the B.N graphic proceeding it!,0.15138879199999877
Foundlaurie ,https://twitter.com/foundlaurie,"\xb7Oct 7, 2019",Breaking Trump News [7AM] 10/07/19 | CNN Breaking News Today O...  via @YouTube  ,0.1516008339999999
Sync.com,N/A,N/A,N/A,0.17143241700000544
\u662f\u3005\u975e\u3005\u662f\u6e05 \u611b\u56fd\u30a6\u30e8\u30af\u30d3\u30b8\u30cd\u30b9\u3001\u9ed2\u7530\u65e5\u9280\u6279\u5224\u306e\u30b5\u30e8\u30af\u30d3\u30b8\u30cd\u30b9\u306e\u5b88\u92ad\u5974\u8a50\u6b3a\u5e2b\u306b\u9a19\u3055\u308c\u306a\u3044\u3088\u3046\u306b\u3002,https://twitter.com/honnenogod,"\xb7Oct 6, 2019",Breaking Trump News [4AM] 10/06/19 | CNN Breaking News Today Oct 6,0.17156712500000282
