description,link,parse_time,pub_date,title
,https://www.cnn.com/business/live-news/fox-news-dominion-trial-04-18-23/index.html,0.0006051063537597656,"Wed, 19 Apr 2023 12:44:51 GMT","Some on-air claims about Dominion Voting Systems were false, Fox News acknowledges in statement after deal is announced"
,https://www.cnn.com/business/live-news/fox-news-dominion-trial-04-18-23/h_8d51e3ae2714edaa0dace837305d03b8,0.00015997886657714844,,Dominion still has pending lawsuits against election deniers such as Rudy Giuliani and Sidney Powell
"• Fox-Dominion trial delay 'is not unusual,' judge says
• Fox News' defamation battle isn't stopping Trump's election lies",https://www.cnn.com/2023/04/17/media/dominion-fox-news-allegations/index.html,0.000202178955078125,"Mon, 17 Apr 2023 16:01:11 GMT",Here are the 20 specific Fox broadcasts and tweets Dominion says were defamatory
The judge just announced in court that a settlement has been reached in the historic defamation case between Fox News and Dominion Voting Systems.,https://www.cnn.com/2023/04/18/media/fox-dominion-settlement/index.html,0.00017905235290527344,"Wed, 19 Apr 2023 08:28:17 GMT",Judge in Fox News-Dominion defamation trial: 'The parties have resolved their case'
"A settlement has been reached in Dominion Voting Systems' defamation case against Fox News, the judge for the case announced. The network will pay more than $787 million to Dominion, a lawyer for the company said.",https://www.cnn.com/videos/politics/2023/04/18/jake-tapper-dominion-lawsuit-settlement-fox-news-statement-lead-vpx.cnn,0.00018310546875,"Tue, 18 Apr 2023 21:17:44 GMT",'Difficult to say with a straight face': Tapper reacts to Fox News' statement on settlement
"• DeSantis goes to Washington, a place he once despised, looking for support to take on Trump
• Opinion: For the GOP to win, it must ditch Trump
• Chris Christie mulling 2024 White House bid
• Analysis: The fire next time has begun burning in Tennessee ",https://www.cnn.com/2023/04/18/politics/mccarthy-biden-debt-ceiling/index.html,0.0001800060272216797,"Tue, 18 Apr 2023 20:34:45 GMT",Millions in the US could face massive consequences unless McCarthy can navigate out of a debt trap he set for Biden
"• 'A major part of Ralph died': Aunt of teen shot after ringing wrong doorbell speaks
• 20-year-old woman shot after friend turned into the wrong driveway in upstate New York, officials say",https://www.cnn.com/2023/04/18/us/kansas-city-ralph-yarl-shooting-tuesday/index.html,0.00017690658569335938,"Wed, 19 Apr 2023 04:29:05 GMT",White homeowner accused of shooting a Black teen who rang his doorbell turns himself in to face criminal charges
"Newly released body camera footage shows firefighters and sheriff's deputies rushing to help actor Jeremy Renner after a near-fatal snowplow accident in January. The ""Avengers"" actor broke more than 30 bones and suffered other severe injuries. CNN's Chloe Melas has more. ",https://www.cnn.com/videos/us/2023/04/18/jeremy-renner-snowplow-accident-bodycam-nc-melas-contd-vpx.cnn,0.00017404556274414062,"Tue, 18 Apr 2023 14:09:43 GMT",Newly released video shows scene of Jeremy Renner's snowplow accident
It's sourdough bread and handstands for Jake Gyllenhaal and Jamie Lee Curtis.,https://www.cnn.com/2023/04/18/entertainment/jake-gyllenhaal-jamie-lee-curtis-pandemic-living/index.html,0.00017380714416503906,"Tue, 18 Apr 2023 14:40:32 GMT",Jake Gyllenhaal and Jamie Lee Curtis spent the Covid-19 lockdown together
"A tiny intruder infiltrated White House grounds Tuesday, prompting a swift response from the US Secret Service.",https://www.cnn.com/2023/04/18/politics/white-house-toddler/index.html,0.0001742839813232422,"Tue, 18 Apr 2023 17:38:16 GMT","Toddler crawls through White House fence, prompts Secret Service response"
