,title,authors,publish_date,text,url,duration
0,"Live updates: Student protests at Columbia, Yale and other schools",Chandelis Duster,2024-04-23 11:07:12+00:00,"Students, faculty and staff at the University of New Mexico started protesting Monday in support of ",https://www.cnn.com/business/live-news/columbia-yale-student-protests-4-23-24/index.html,0.37708091735839844
1,"Live updates: Student protests at Columbia, Yale and other schools",Christina Zdanowicz,2024-04-23 11:07:12+00:00,"Students, faculty and staff at the University of New Mexico started protesting Monday in support of ",https://www.cnn.com/business/live-news/columbia-yale-student-protests-4-23-24/index.html,0.37708091735839844
2,"Live updates: Student protests at Columbia, Yale and other schools",Lucy Bayly,2024-04-23 11:07:12+00:00,"Students, faculty and staff at the University of New Mexico started protesting Monday in support of ",https://www.cnn.com/business/live-news/columbia-yale-student-protests-4-23-24/index.html,0.37708091735839844
0,"Live updates: Israel-Hamas war, Netanyahu criticizes US sanctions plans, UNRWA review",Sana Noor Haq,2024-04-23 04:25:05+00:00,"Displaced Palestinians cook in Deir al-Balah, in central Gaza. CNN

Young children wearing sandals p",https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-04-23-24/index.html,0.3143632411956787
1,"Live updates: Israel-Hamas war, Netanyahu criticizes US sanctions plans, UNRWA review",Christian Edwards,2024-04-23 04:25:05+00:00,"Displaced Palestinians cook in Deir al-Balah, in central Gaza. CNN

Young children wearing sandals p",https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-04-23-24/index.html,0.3143632411956787
2,"Live updates: Israel-Hamas war, Netanyahu criticizes US sanctions plans, UNRWA review",Tori B. Powell,2024-04-23 04:25:05+00:00,"Displaced Palestinians cook in Deir al-Balah, in central Gaza. CNN

Young children wearing sandals p",https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-04-23-24/index.html,0.3143632411956787
3,"Live updates: Israel-Hamas war, Netanyahu criticizes US sanctions plans, UNRWA review",Aditi Sangal,2024-04-23 04:25:05+00:00,"Displaced Palestinians cook in Deir al-Balah, in central Gaza. CNN

Young children wearing sandals p",https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-04-23-24/index.html,0.3143632411956787
0,Live updates: Donald Trump's hush money trial,Cnn'S Jeremy Herb,2024-04-23 12:00:24+00:00,Former President Donald Trump speaks after leaving Manhattan criminal court on Tuesday in New York. ,https://www.cnn.com/politics/live-news/trump-hush-money-trial-04-23-24/index.html,0.32599782943725586
1,Live updates: Donald Trump's hush money trial,Lauren Del Valle,2024-04-23 12:00:24+00:00,Former President Donald Trump speaks after leaving Manhattan criminal court on Tuesday in New York. ,https://www.cnn.com/politics/live-news/trump-hush-money-trial-04-23-24/index.html,0.32599782943725586
2,Live updates: Donald Trump's hush money trial,Kara Scannell In The Courthouse,2024-04-23 12:00:24+00:00,Former President Donald Trump speaks after leaving Manhattan criminal court on Tuesday in New York. ,https://www.cnn.com/politics/live-news/trump-hush-money-trial-04-23-24/index.html,0.32599782943725586
