,title,authors,publish_date,text,url,duration
0,"David Pecker tells hush-money trial about paying Trump doorman $30,000 to take a story ‘off the market’ – as it happened",Léonie Chao-Fong,2024-04-23 18:47:28+00:00,"From 6h ago 13.28 EDT Pecker says he was told 'the boss will be very pleased' after paying $30,000 f",https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS91cy1uZXdzL2xpdmUvMjAyNC9hcHIvMjMvdHJ1bXAtaHVzaC1tb25leS10cmlhbC1uZXcteW9yay11cGRhdGVz0gFcaHR0cHM6Ly9hbXAudGhlZ3VhcmRpYW4uY29tL3VzLW5ld3MvbGl2ZS8yMDI0L2Fwci8yMy90cnVtcC1odXNoLW1vbmV5LXRyaWFsLW5ldy15b3JrLXVwZGF0ZXM?oc=5,0.7371172904968262
1,"David Pecker tells hush-money trial about paying Trump doorman $30,000 to take a story ‘off the market’ – as it happened",Chris Michael,2024-04-23 18:47:28+00:00,"From 6h ago 13.28 EDT Pecker says he was told 'the boss will be very pleased' after paying $30,000 f",https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS91cy1uZXdzL2xpdmUvMjAyNC9hcHIvMjMvdHJ1bXAtaHVzaC1tb25leS10cmlhbC1uZXcteW9yay11cGRhdGVz0gFcaHR0cHM6Ly9hbXAudGhlZ3VhcmRpYW4uY29tL3VzLW5ld3MvbGl2ZS8yMDI0L2Fwci8yMy90cnVtcC1odXNoLW1vbmV5LXRyaWFsLW5ldy15b3JrLXVwZGF0ZXM?oc=5,0.7371172904968262
0,"Remains from a mother-daughter cold case were found nearly 24 years later, after a deathbed confession from the suspect",Alisha Ebrahimji,2024-04-23 21:34:00.502000+00:00,"CNN —

A West Virginia father is getting some sense of closure after authorities found the remains o",https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wNC8yMy91cy93ZXN0LXZpcmdpbmlhLW1vdGhlci1kYXVnaHRlci1jb2xkLWNhc2UvaW5kZXguaHRtbNIBTWh0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjQvMDQvMjMvdXMvd2VzdC12aXJnaW5pYS1tb3RoZXItZGF1Z2h0ZXItY29sZC1jYXNl?oc=5,0.8815650939941406
0,Global plastic pollution treaty talks hit critical stage in Canada,Mcdermott Is A Reporter On The Associated Press Climate,2024-04-23 04:23:14,Thousands of negotiators and observers representing most of the world’s nations are gathering in the,https://news.google.com/rss/articles/CBMihgFodHRwczovL2FwbmV3cy5jb20vYXJ0aWNsZS9wbGFzdGljLXBvbGx1dGlvbi10cmVhdHktbmVnb3RpYXRpb25zLW90dGF3YS11bml0ZWQtbmF0aW9ucy1pbmdlci1hbmRlcnNlbi1hYWQ5ZDU1OGZmYWFhYjY1YTdlNmE5Y2RkMWViZTUwZtIBAA?oc=5,0.9767601490020752
1,Global plastic pollution treaty talks hit critical stage in Canada,Environment Team. She Focuses On The Transition To Clean Energy.,2024-04-23 04:23:14,Thousands of negotiators and observers representing most of the world’s nations are gathering in the,https://news.google.com/rss/articles/CBMihgFodHRwczovL2FwbmV3cy5jb20vYXJ0aWNsZS9wbGFzdGljLXBvbGx1dGlvbi10cmVhdHktbmVnb3RpYXRpb25zLW90dGF3YS11bml0ZWQtbmF0aW9ucy1pbmdlci1hbmRlcnNlbi1hYWQ5ZDU1OGZmYWFhYjY1YTdlNmE5Y2RkMWViZTUwZtIBAA?oc=5,0.9767601490020752
0,Australia’s prime minister calls Elon Musk an ‘arrogant billionaire’,Adela Suliman,2024-04-23 15:42:36.269000+00:00,"Australian Prime Minister Anthony Albanese lashed out at tech mogul Elon Musk on Tuesday, labeling h",https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS93b3JsZC8yMDI0LzA0LzIzL2Vsb24tbXVzay1hbGJhbmVzZS10d2l0dGVyLWNodXJjaC_SAQA?oc=5,0.648385763168335
0,"North Korea issues nuclear 'warning signal' to US, South Korea",Peter Aitken,,"North Korea’s missile test on Monday was in fact a drill to test nuclear force preparedness, accordi",https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LmZveG5ld3MuY29tL3dvcmxkL25vcnRoLWtvcmVhLWlzc3Vlcy1udWNsZWFyLXdhcm5pbmctc2lnbmFsLXVzLXNvdXRoLWtvcmVh0gFaaHR0cHM6Ly93d3cuZm94bmV3cy5jb20vd29ybGQvbm9ydGgta29yZWEtaXNzdWVzLW51Y2xlYXItd2FybmluZy1zaWduYWwtdXMtc291dGgta29yZWEuYW1w?oc=5,0.5825221538543701
0,"Tesla’s earnings plunge, but the company promises cheaper car model",Chris Isidore,2024-04-23 10:00:25.892000+00:00,"New York CNN —

Tesla reported its first quarter adjusted earnings plunged 48%, falling short of low",https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wNC8yMy9idXNpbmVzcy90ZXNsYS1yZXBvcnQtZWFybmluZ3MtcmVzdWx0L2luZGV4Lmh0bWzSAUhodHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDI0LzA0LzIzL2J1c2luZXNzL3Rlc2xhLXJlcG9ydC1lYXJuaW5ncy1yZXN1bHQ?oc=5,1.1667039394378662
0,Surprise Apple Event Hints at First New iPads in Years,Scott Stein,,"We haven't seen a new iPad in years, but Apple seems likely to change that in just a few weeks. All ",https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmNuZXQuY29tL3RlY2gvY29tcHV0aW5nL3N1cnByaXNlLWFwcGxlLWV2ZW50LWhpbnRzLWF0LWZpcnN0LW5ldy1pcGFkcy1pbi15ZWFycy_SAQA?oc=5,0.7504618167877197
1,Surprise Apple Event Hints at First New iPads in Years,I Started With Cnet Reviewing Laptops In Now I Explore Wearable Tech,,"We haven't seen a new iPad in years, but Apple seems likely to change that in just a few weeks. All ",https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmNuZXQuY29tL3RlY2gvY29tcHV0aW5nL3N1cnByaXNlLWFwcGxlLWV2ZW50LWhpbnRzLWF0LWZpcnN0LW5ldy1pcGFkcy1pbi15ZWFycy_SAQA?oc=5,0.7504618167877197
2,Surprise Apple Event Hints at First New iPads in Years,Vr Ar,,"We haven't seen a new iPad in years, but Apple seems likely to change that in just a few weeks. All ",https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmNuZXQuY29tL3RlY2gvY29tcHV0aW5nL3N1cnByaXNlLWFwcGxlLWV2ZW50LWhpbnRzLWF0LWZpcnN0LW5ldy1pcGFkcy1pbi15ZWFycy_SAQA?oc=5,0.7504618167877197
