,title,authors,publish_date,text,url,duration
0,"20 Years Later, a Jury Weighs Claims of Abuse at Abu Ghraib",Mattathias Schwartz,2024-04-23,"The journalist said he was left naked overnight in a cold prison cell with a bag over his head, chai",https://www.nytimes.com/2024/04/23/us/iraq-prison-lawsuit-abu-ghraib-abuse.html,0.14697599411010742
0,Student Editorial Boards Rebuke College Officials for Protest Decisions,Anna Betts,2024-04-23,"As protests over the Israel-Hamas war have erupted at U.S. universities in recent months, student jo",https://www.nytimes.com/2024/04/23/us/college-protest-editorial-voices.html,0.3120250701904297
1,Student Editorial Boards Rebuke College Officials for Protest Decisions,Jonathan Wolfe,2024-04-23,"As protests over the Israel-Hamas war have erupted at U.S. universities in recent months, student jo",https://www.nytimes.com/2024/04/23/us/college-protest-editorial-voices.html,0.3120250701904297
0,Student Protest Movement Could Cause a Tumultuous End to School Year,Troy Closson,2024-04-23,"As a wave of pro-Palestinian activism on college campuses showed few signs of abating on Tuesday, th",https://www.nytimes.com/2024/04/23/us/columbia-university-remote-classes-protests.html,0.14601707458496094
0,"In San Francisco, a Home Renovation Can Become a Battle Royale",Heather Knight,2024-04-23,San Francisco’s top governing body will spend time on Tuesday discussing what most residents surely ,https://www.nytimes.com/2024/04/23/us/san-francisco-home-renovation.html,0.1444721221923828
0,Here’s What’s in the Foreign Aid Package That Is Headed Toward Becoming Law,Robert Jimison,2024-04-23,"The Senate on Tuesday was moving toward approving a $95.3 billion foreign aid package for Ukraine, I",https://www.nytimes.com/2024/04/23/us/politics/aid-bill-ukraine-israel-taiwan.html,0.24948811531066895
0,Trump’s ‘eyes and ears’ for scandal,Jesse Mckinley,2024-04-23,If last week’s process of selecting jurors was a kind of prologue to the criminal trial of Donald Tr,https://www.nytimes.com/2024/04/23/us/politics/trump-trial-new-york-tabloid-witness.html,1.0059592723846436
0,Biden Will Speak at Morehouse and West Point Graduations,Zach Montague,2024-04-23,President Biden will deliver commencement addresses next month at Morehouse College in Georgia and t,https://www.nytimes.com/2024/04/23/us/politics/biden-morehouse-west-point-commencement.html,0.5707850456237793
0,These Voters Haven’t Missed an Election in at Least 50 Years,Camille Baker,2024-04-23,"In 1963, Leola Hubbard voted for the first time. She was 21, and she sent her absentee ballot home f",https://www.nytimes.com/2024/04/23/us/elections/pennsylvania-montgomery-voter-hall-of-fame.html,0.15406489372253418
0,"Woman Charged With Murder After Driving Into a Party, Killing 2 Children",Christine Hauser,2024-04-23,A woman in Michigan was charged with second-degree murder after driving her vehicle into a building ,https://www.nytimes.com/2024/04/23/us/michigan-swan-boat-crash-charges.html,0.12781310081481934
0,Justice Dept. Reaches $138.7 Million Settlement Over F.B.I.’s Failures in Nassar Case,Glenn Thrush,2024-04-23,The Justice Department said on Tuesday it would pay $138.7 million to resolve claims by young women ,https://www.nytimes.com/2024/04/23/us/politics/us-doj-larry-nassar-fbi-settlement.html,0.21234583854675293
1,Justice Dept. Reaches $138.7 Million Settlement Over F.B.I.’s Failures in Nassar Case,Juliet Macur,2024-04-23,The Justice Department said on Tuesday it would pay $138.7 million to resolve claims by young women ,https://www.nytimes.com/2024/04/23/us/politics/us-doj-larry-nassar-fbi-settlement.html,0.21234583854675293
0,"To Justify His Immunity Defense, Trump Flips the Prosecution Script",Alan Feuer,2024-04-23,When the Supreme Court considers Donald J. Trump’s sweeping claims of executive immunity on Thursday,https://www.nytimes.com/2024/04/23/us/politics/immunity-trump-election-court.html,0.14827799797058105
